192.168.99.1 - - [09/Jul/2020:19:54:00 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:00 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:00 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:01 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:01 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:01 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:01 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:02 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:02 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:02 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:02 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:02 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:03 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:03 +0530] "GET /kiit.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
192.168.99.1 - - [09/Jul/2020:19:54:51 +0530] "-" 408 - "-" "-"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:41 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
192.168.99.1 - - [09/Jul/2020:19:55:42 +0530] "GET /kiit.html HTTP/1.1" 408 221 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.503l3; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MSOffice 12)"
